EVENT DATE,Program,MUNICIPALITY,REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
2017-01-09,Industrial Health & Safety Program,SPRINGWATER TWP,Central West,336110.0,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
2017-01-05,Construction Health & Safety Program,Elliot Lake,Northern,236220.0,Commercial and Institutional Building Construction,INST,Institutional Building Construction,20 to 49
2017-01-11,Mining Health & Safety Program,Ajax,Central East,212232.0,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
2017-01-12,Industrial Health & Safety Program,Dryden,Northern,722512.0,Limited-service eating places,REST,Restaurants,1 to 5
2017-01-06,Health Care Health & Safety Program,Milton,South Western,621610.0,Home Health Care Services,NSER,Nursing Services,50 or More
2017-01-08,Construction Health & Safety Program,Georgetown,South Western,236110.0,Residential Building Construction,RESS,Single Family Housing,20 to 49
2017-01-05,Industrial Health & Safety Program,Toronto,Central East,712130.0,Zoos and Botanical Gardens,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-01-02,Industrial Health & Safety Program,Pickering,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,20 to 49
2017-01-11,Construction Health & Safety Program,Burlington,South Western,236110.0,Residential Building Construction,RESS,Single Family Housing,6 to 19
2017-01-29,Industrial Health & Safety Program,Pontypool,Central East,336990.0,Other Transportation Equipment Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2017-02-02,Industrial Health & Safety Program,Whitby,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-01-29,Construction Health & Safety Program,Scarborough,Central East,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,20 to 49
2017-02-08,Industrial Health & Safety Program,Mississauga,Central West,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-02-02,Industrial Health & Safety Program,Toronto,Central East,336110.0,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
2017-01-30,Industrial Health & Safety Program,Brampton,Central West,611710.0,Educational Support Services,EDUC,Education,20 to 49
2017-02-06,Industrial Health & Safety Program,Ingersoll,Western,322122.0,Newsprint Mills,PULP,"Pulp, Paper",50 or More
2017-01-30,Construction Health & Safety Program,Toronto,Central East,236110.0,Residential Building Construction,RESS,Single Family Housing,20 to 49
2017-02-04,Construction Health & Safety Program,L'Orignal,Eastern,236210.0,Industrial Building and Structure Construction,INDU,Industrial Building Construction,50 or More
2017-01-29,Industrial Health & Safety Program,ORILLIA,Central West,493110.0,General Warehousing and Storage,AUTO,Automotive,50 or More
2017-02-06,Industrial Health & Safety Program,North York,Central East,493190.0,Other Warehousing and Storage,INDS,Industrial Services,50 or More
2017-02-05,Construction Health & Safety Program,HAMILTON,South Western,238160.0,Roofing Contractors,COMM,Commercial Building Construction,1 to 5
2017-02-03,Industrial Health & Safety Program,Tiverton,Western,912910.0,Other Provincial and Territorial Public Administration,GOVT,Government,6 to 19
2017-01-30,Industrial Health & Safety Program,Holland Landing,Central West,321920.0,Wood Container and Pallet Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2017-02-06,Industrial Health & Safety Program,Mississauga,Central West,311520.0,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
2017-02-10,Industrial Health & Safety Program,Scarborough,Central East,238910.0,Site Preparation Contractors,INDS,Industrial Services,1 to 5
2017-02-02,Construction Health & Safety Program,Burlington,South Western,236110.0,Residential Building Construction,RESS,Single Family Housing,20 to 49
2017-02-12,Mining Health & Safety Program,Toronto,Central East,212232.0,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
2017-02-02,Industrial Health & Safety Program,Owen Sound,Western,611310.0,Universities,EDUC,Education,1 to 5
2017-03-03,Industrial Health & Safety Program,North York,Central East,561621.0,Security Systems Services (except Locksmiths),INDS,Industrial Services,50 or More
2017-03-04,Construction Health & Safety Program,Pickering,Central East,236110.0,Residential Building Construction,RESS,Single Family Housing,1 to 5
2017-02-27,Mining Health & Safety Program,Thunder Bay,Northern,212232.0,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
2017-03-08,Construction Health & Safety Program,Hannon,South Western,238160.0,Roofing Contractors,RESS,Single Family Housing,1 to 5
2017-02-28,Industrial Health & Safety Program,North York,Central East,912130.0,Provincial Police Services,PLCE,Police,50 or More
2017-03-09,Construction Health & Safety Program,North York,Central East,236210.0,Industrial Building and Structure Construction,INDU,Industrial Building Construction,20 to 49
2017-03-01,Industrial Health & Safety Program,Ancaster,South Western,551114.0,Head Offices,OFFS,Offices & Related Services,20 to 49
2017-03-05,Industrial Health & Safety Program,Newmarket,Central West,453310.0,Used Merchandise Stores,RETL,Retail,50 or More
2017-02-27,Industrial Health & Safety Program,Whitby,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-03-02,Industrial Health & Safety Program,Sudbury,Northern,722512.0,Limited-service eating places,REST,Restaurants,50 or More
2017-02-26,Construction Health & Safety Program,Stratford,Western,236110.0,Residential Building Construction,RESS,Single Family Housing,6 to 19
2017-02-27,Construction Health & Safety Program,Scarborough,Central East,236110.0,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
2017-02-27,Industrial Health & Safety Program,HAMILTON,South Western,326122.0,Plastic Pipe and Pipe Fitting Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
2017-02-25,Construction Health & Safety Program,Toronto,Central East,236110.0,Residential Building Construction,RESS,Single Family Housing,6 to 19
2017-03-04,Industrial Health & Safety Program,Huntsville,Eastern,331221.0,Cold-Rolled Steel Shape Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2017-03-05,Construction Health & Safety Program,Elliot Lake,Northern,237130.0,Power and Communication Line and Related Structures Construction,HYDR,Hydro,20 to 49
2017-03-01,Industrial Health & Safety Program,Toronto,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-02-25,Industrial Health & Safety Program,Brampton,Central West,444190.0,Other Building Material Dealers,CONY,Construction Premises,20 to 49
2017-02-25,Industrial Health & Safety Program,Windsor,Western,332420.0,Metal Tank (Heavy Gauge) Manufacturing,FABR,Wood & Metal Fabrication,1 to 5
2017-03-07,Industrial Health & Safety Program,Peterborough,Eastern,213119.0,Other Support Activities for Mining,WHLS,Wholesalers,6 to 19
2017-03-06,Health Care Health & Safety Program,Whitby,Central East,623222.0,Homes for the Psychiatrically Disabled,GRPH,Group Homes,50 or More
2017-03-04,Industrial Health & Safety Program,Port Hope,Eastern,418220.0,Other paper and disposable plastic product merchant wholesalers,WHLS,Wholesalers,20 to 49
2017-02-27,Industrial Health & Safety Program,Mississauga,Central West,562990.0,All Other Waste Management Services,INDS,Industrial Services,50 or More
2017-03-06,Industrial Health & Safety Program,ST CATHARINES,South Western,444110.0,Home Centres,RETL,Retail,50 or More
2017-03-06,Construction Health & Safety Program,Mississauga,Central West,236210.0,Industrial Building and Structure Construction,MINP,Mining Plant Construction,50 or More
2017-03-10,Industrial Health & Safety Program,Vaughan,Central West,416310.0,General-line building supplies merchant wholesalers,TRAN,Transportation,50 or More
2017-03-02,Industrial Health & Safety Program,Scarborough,Central East,417210.0,"Construction and forestry machinery, equipment and supplies merchant wholesalers",VEHS,Vehicle Sales & Service,6 to 19
2017-03-03,Industrial Health & Safety Program,North Bay,Northern,493110.0,General Warehousing and Storage,WHLS,Wholesalers,50 or More
2017-03-07,Construction Health & Safety Program,Whitby,Central East,238990.0,All Other Specialty Trade Contractors,WIND,Window Cleaning Services,1 to 5
2017-03-27,Industrial Health & Safety Program,Toronto,Central East,713920.0,Skiing Facilities,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-03-29,Mining Health & Safety Program,Toronto,Central East,212398.0,All Other Non-Metallic Mineral Mining and Quarrying,SPLT,Surface Plant (Mine Sites),20 to 49
2017-03-30,Health Care Health & Safety Program,Sault Ste. Marie,Northern,622210.0,Psychiatric and Substance Abuse Hospitals,HOSP,Hospitals,50 or More
2017-03-27,Industrial Health & Safety Program,Scarborough,Central East,721113.0,Resorts,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-03-30,Construction Health & Safety Program,TIMMINS,Northern,236220.0,Commercial and Institutional Building Construction,INST,Institutional Building Construction,1 to 5
2017-04-06,Health Care Health & Safety Program,Hamilton,South Western,623110.0,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
2017-04-04,Industrial Health & Safety Program,Toronto,Central East,326193.0,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
2017-03-29,Industrial Health & Safety Program,Stoney Creek,South Western,112330.0,Turkey Production,FARM,Farming,6 to 19
2017-03-28,Industrial Health & Safety Program,Thunder Bay,Northern,326220.0,Rubber and Plastic Hose and Belting Manufacturing,WHLS,Wholesalers,6 to 19
2017-04-04,Industrial Health & Safety Program,Ottawa,Eastern,711217.0,Sports teams and clubs performing before a paying audience,OFFS,Offices & Related Services,50 or More
2017-04-06,Industrial Health & Safety Program,Lively,Northern,418990.0,All other merchant wholesalers,TRAN,Transportation,50 or More
2017-04-06,Industrial Health & Safety Program,Tillsonburg,Western,236210.0,Industrial Building and Structure Construction,FOOD,"Food, Beverage & Tobacco",50 or More
2017-03-30,Industrial Health & Safety Program,Toronto,Central East,713210.0,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-04-04,Industrial Health & Safety Program,Toronto,Central East,485110.0,Urban Transit Systems,TRAN,Transportation,50 or More
2017-03-28,Industrial Health & Safety Program,BROUGHAM,Central East,451119.0,All other sporting goods stores,RETL,Retail,50 or More
2017-04-01,Industrial Health & Safety Program,Brampton,Central West,326193.0,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
2017-04-12,Industrial Health & Safety Program,Bowmanville,Central East,561210.0,Facilities Support Services,REST,Restaurants,50 or More
2017-04-08,Construction Health & Safety Program,North Bay,Northern,238160.0,Roofing Contractors,RESS,Single Family Housing,1 to 5
2017-04-02,Industrial Health & Safety Program,Burlington,South Western,611310.0,Universities,EDUC,Education,50 or More
2017-04-03,Industrial Health & Safety Program,North York,Central East,314990.0,All Other Textile Product Mills,TEXT,"Textiles, Printing",50 or More
2017-04-06,Construction Health & Safety Program,LONDON,Western,236110.0,Residential Building Construction,RESS,Single Family Housing,1 to 5
2017-04-11,Industrial Health & Safety Program,Scarborough,Central East,336110.0,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
2017-03-31,Industrial Health & Safety Program,KITCHENER,Western,561310.0,Employment Placement Agencies and Executive Search Services,OFFS,Offices & Related Services,6 to 19
2017-04-02,Industrial Health & Safety Program,Mississauga,Central West,713992.0,Other sport facilities,SERV,"Tourism, Hospitality & Recreational Services",1 to 5
2017-03-30,Industrial Health & Safety Program,Oshawa,Central East,326193.0,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
2017-03-30,Industrial Health & Safety Program,SPRINGWATER TWP,Central West,713940.0,Fitness and Recreational Sports Centres,NECI,NEC - Industrial,6 to 19
2017-04-08,Industrial Health & Safety Program,Elliot Lake,Northern,236220.0,Commercial and Institutional Building Construction,INDS,Industrial Services,50 or More
2017-04-09,Health Care Health & Safety Program,Ajax,Central East,623110.0,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
2017-04-11,Industrial Health & Safety Program,Dryden,Northern,912910.0,Other Provincial and Territorial Public Administration,GOVT,Government,50 or More
2017-04-06,Construction Health & Safety Program,Milton,South Western,236110.0,Residential Building Construction,RESS,Single Family Housing,1 to 5
2017-04-04,Industrial Health & Safety Program,Georgetown,South Western,561210.0,Facilities Support Services,REST,Restaurants,50 or More
2017-04-29,Industrial Health & Safety Program,Toronto,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-05-01,Industrial Health & Safety Program,Pickering,Central East,311990.0,All Other Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
2017-04-28,Industrial Health & Safety Program,Burlington,South Western,913140.0,Municipal Fire-Fighting Services,GOVT,Government,1 to 5
2017-05-02,Construction Health & Safety Program,Pontypool,Central East,237310.0,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,20 to 49
2017-05-06,Industrial Health & Safety Program,Whitby,Central East,326290.0,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
2017-05-09,Industrial Health & Safety Program,Scarborough,Central East,311520.0,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
2017-05-09,Industrial Health & Safety Program,Mississauga,Central West,333246.0,Rubber and plastics industry machinery manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
2017-05-08,Industrial Health & Safety Program,Toronto,Central East,452110.0,Department Stores,RETL,Retail,50 or More
2017-05-09,Industrial Health & Safety Program,Brampton,Central West,722310.0,Food Service Contractors,FOOD,"Food, Beverage & Tobacco",20 to 49
2017-04-29,Industrial Health & Safety Program,Ingersoll,Western,111422.0,Floriculture Production,WHLS,Wholesalers,20 to 49
2017-05-06,Industrial Health & Safety Program,Toronto,Central East,493110.0,General Warehousing and Storage,TRAN,Transportation,50 or More
2017-05-09,Industrial Health & Safety Program,L'Orignal,Eastern,912140.0,Provincial Fire-Fighting Services,FIRE,Fire Fighting,50 or More
2017-04-30,Industrial Health & Safety Program,ORILLIA,Central West,713210.0,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-05-08,Industrial Health & Safety Program,North York,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,20 to 49
2017-05-02,Construction Health & Safety Program,HAMILTON,South Western,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
2017-05-06,Industrial Health & Safety Program,Tiverton,Western,524129.0,"Other Direct Insurance (except Life, Health and Medical) Carriers",OFFS,Offices & Related Services,50 or More
2017-05-09,Industrial Health & Safety Program,Holland Landing,Central West,623993.0,Homes for the Physically Handicapped or Disabled,EDUC,Education,20 to 49
2017-05-07,Industrial Health & Safety Program,Mississauga,Central West,913910.0,"Other Local, Municipal and Regional Public Administration",GOVT,Government,1 to 5
2017-04-30,Construction Health & Safety Program,Scarborough,Central East,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
2017-05-10,Industrial Health & Safety Program,Burlington,South Western,336110.0,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
2017-05-03,Industrial Health & Safety Program,Toronto,Central East,621420.0,Out-Patient Mental Health and Substance Abuse Centres,OFFS,Offices & Related Services,50 or More
2017-05-07,Industrial Health & Safety Program,Owen Sound,Western,493120.0,Refrigerated Warehousing and Storage,FOOD,"Food, Beverage & Tobacco",50 or More
2017-05-11,Construction Health & Safety Program,North York,Central East,237310.0,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,20 to 49
2017-05-05,Industrial Health & Safety Program,Pickering,Central East,111422.0,Floriculture Production,AGRI,Agricultural Services,6 to 19
2017-05-04,Health Care Health & Safety Program,Thunder Bay,Northern,623110.0,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
2017-06-03,Construction Health & Safety Program,Hannon,South Western,238210.0,Electrical Contractors and Other Wiring Installation Contractors,COMM,Commercial Building Construction,1 to 5
2017-06-02,Construction Health & Safety Program,North York,Central East,236110.0,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
2017-06-07,Industrial Health & Safety Program,North York,Central East,493110.0,General Warehousing and Storage,WHLS,Wholesalers,50 or More
2017-06-05,Industrial Health & Safety Program,Ancaster,South Western,493110.0,General Warehousing and Storage,NECI,NEC - Industrial,20 to 49
2017-05-28,Industrial Health & Safety Program,Scarborough,Central East,413110.0,General-line food merchant wholesalers,FOOD,"Food, Beverage & Tobacco",20 to 49
2017-06-06,Construction Health & Safety Program,Mississauga,Central West,236220.0,Commercial and Institutional Building Construction,INST,Institutional Building Construction,20 to 49
2017-06-01,Health Care Health & Safety Program,Balmertown,Northern,624120.0,Services for the Elderly and Persons with Disabilities,NSER,Nursing Services,50 or More
2017-06-02,Industrial Health & Safety Program,Mississauga,Central West,485110.0,Urban Transit Systems,TRAN,Transportation,50 or More
2017-05-28,Health Care Health & Safety Program,KAPUSKASING,Northern,622111.0,General (except Paediatric) Hospitals,HEAL,HEALTH CARE,50 or More
2017-05-30,Industrial Health & Safety Program,Toronto,Central East,913130.0,Municipal Police Services,PLCE,Police,50 or More
2017-06-04,Construction Health & Safety Program,Toronto,Central East,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
2017-05-29,Industrial Health & Safety Program,Burlington,South Western,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-09,Industrial Health & Safety Program,Brantford,South Western,452110.0,Department Stores,RETL,Retail,50 or More
2017-06-02,Industrial Health & Safety Program,Mount Forest,Western,326290.0,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
2017-06-02,Industrial Health & Safety Program,Richmond Hill,Central East,339990.0,All Other Miscellaneous Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2017-06-02,Construction Health & Safety Program,Milton,South Western,236110.0,Residential Building Construction,RESS,Single Family Housing,1 to 5
2017-06-05,Industrial Health & Safety Program,Richmond Hill,Central West,339990.0,All Other Miscellaneous Manufacturing,WHLS,Wholesalers,50 or More
2017-06-06,Industrial Health & Safety Program,Woodbridge,Central West,713110.0,Amusement and Theme Parks,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-06-12,Industrial Health & Safety Program,LONDON,Western,811121.0,"Automotive Body, Paint and Interior Repair and Maintenance",INDS,Industrial Services,1 to 5
2017-06-02,Industrial Health & Safety Program,Thunder Bay,Northern,711217.0,Sports teams and clubs performing before a paying audience,SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-06-10,Industrial Health & Safety Program,Toronto,Central East,238990.0,All Other Specialty Trade Contractors,CONY,Construction Premises,50 or More
2017-06-10,Industrial Health & Safety Program,Toronto,Central East,912190.0,Other Provincial Protective Services,GOVT,Government,6 to 19
2017-06-02,Industrial Health & Safety Program,Mississauga,Central West,722511.0,Full-service restaurants,INDS,Industrial Services,50 or More
2017-06-01,Industrial Health & Safety Program,North York,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-09,Industrial Health & Safety Program,Markham,Central West,331514.0,Steel Foundries,STEL,Primary Metals,50 or More
2017-06-10,Industrial Health & Safety Program,Mississauga,Central West,493110.0,General Warehousing and Storage,RETL,Retail,50 or More
2017-06-03,Industrial Health & Safety Program,Toronto,Central East,913910.0,"Other Local, Municipal and Regional Public Administration",GOVT,Government,50 or More
2017-06-10,Industrial Health & Safety Program,Toronto,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-08,Health Care Health & Safety Program,Stratford,Western,623310.0,Community Care Facilities for the Elderly,TCSS,Treatment Clinics & Specialized Services,50 or More
2017-06-04,Construction Health & Safety Program,Hamilton,South Western,236220.0,Commercial and Institutional Building Construction,INST,Institutional Building Construction,1 to 5
2017-06-07,Industrial Health & Safety Program,Ingersoll,Western,444110.0,Home Centres,RETL,Retail,50 or More
2017-06-03,Industrial Health & Safety Program,Kitchener,Western,713210.0,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
2017-05-29,Industrial Health & Safety Program,Hannon,South Western,913910.0,"Other Local, Municipal and Regional Public Administration",GOVT,Government,6 to 19
2017-06-04,Industrial Health & Safety Program,Sudbury,Northern,493110.0,General Warehousing and Storage,WHLS,Wholesalers,50 or More
2017-06-06,Industrial Health & Safety Program,Scarborough,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-05,Industrial Health & Safety Program,Bowmanville,Central East,333416.0,Heating Equipment and Commercial Refrigeration Equipment Manufacturing,FABR,Wood & Metal Fabrication,50 or More
2017-06-11,Industrial Health & Safety Program,Toronto,Central East,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-02,Industrial Health & Safety Program,Hamilton,South Western,443143.0,"Appliance, television and other electronics stores",RETL,Retail,6 to 19
2017-06-07,Health Care Health & Safety Program,Fort Albany,Northern,624310.0,Vocational Rehabilitation Services,HFRC,Homes for Residential Care,6 to 19
2017-06-10,Industrial Health & Safety Program,Mississauga,Central West,623993.0,Homes for the Physically Handicapped or Disabled,EDUC,Education,20 to 49
2017-06-11,Industrial Health & Safety Program,Picton,Eastern,444130.0,Hardware Stores,RETL,Retail,50 or More
2017-06-30,Industrial Health & Safety Program,Stoney Creek,South Western,561310.0,Employment Placement Agencies and Executive Search Services,TRAN,Transportation,50 or More
2017-07-04,Industrial Health & Safety Program,CALEDONIA,South Western,541215.0,"Bookkeeping, Payroll and Related Services",INDS,Industrial Services,20 to 49
2017-07-06,Industrial Health & Safety Program,Kingston,Eastern,416320.0,"Lumber, plywood and millwork merchant wholesalers",WHLS,Wholesalers,50 or More
2017-07-03,Industrial Health & Safety Program,Chapleau,Northern,562910.0,Remediation Services,INDS,Industrial Services,1 to 5
2017-07-03,Construction Health & Safety Program,Tilbury,Western,611110.0,Elementary and Secondary Schools,ASB1,Asbestos Removal - Type 1,50 or More
2017-07-01,Industrial Health & Safety Program,Parkhill,Western,331514.0,Steel Foundries,STEL,Primary Metals,50 or More
2017-07-11,Construction Health & Safety Program,Toronto,Central East,236110.0,Residential Building Construction,RESS,Single Family Housing,1 to 5
2017-07-05,Construction Health & Safety Program,Toronto,Central East,236220.0,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,6 to 19
2017-07-05,Industrial Health & Safety Program,Collingwood,Central West,611110.0,Elementary and Secondary Schools,EDUC,Education,50 or More
2017-06-29,Industrial Health & Safety Program,Waubaushene,Central West,326193.0,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
2017-07-11,Health Care Health & Safety Program,Bowmanville,Central East,622111.0,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
2017-06-30,Industrial Health & Safety Program,Brampton,Central West,562910.0,Remediation Services,INDS,Industrial Services,1 to 5
2017-07-04,Industrial Health & Safety Program,Ottawa,Eastern,111419.0,Other Food Crops Grown Under Cover,FARM,Farming,50 or More
2017-07-12,Industrial Health & Safety Program,Campbellville,South Western,331523.0,Non-ferrous metal die-casting foundries,NECI,NEC - Industrial,6 to 19
2017-07-02,Health Care Health & Safety Program,Toronto,Central East,623310.0,Community Care Facilities for the Elderly,HFRC,Homes for Residential Care,50 or More
2017-07-05,Industrial Health & Safety Program,Guelph,Western,444110.0,Home Centres,RETL,Retail,50 or More
2017-07-04,Industrial Health & Safety Program,Toronto,Central East,452110.0,Department Stores,RETL,Retail,20 to 49
2017-07-08,Construction Health & Safety Program,Scarborough,Central East,238320.0,Painting and Wall Covering Contractors,NECC,NEC - Construction,1 to 5
2017-07-05,Industrial Health & Safety Program,Welland,South Western,336110.0,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
2017-06-29,Industrial Health & Safety Program,Whitby,Central East,238291.0,Elevator and Escalator Installation Contractors,INDS,Industrial Services,20 to 49
2017-07-07,Industrial Health & Safety Program,Mississauga,Central East,311520.0,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
2017-07-01,Construction Health & Safety Program,Fort Erie,South Western,236110.0,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
2017-07-08,Industrial Health & Safety Program,Mississauga,Central West,311920.0,Coffee and Tea Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
2017-07-06,Health Care Health & Safety Program,Hawkesbury,Eastern,623110.0,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
2017-07-02,Industrial Health & Safety Program,Chaput Hughes,Northern,611690.0,All Other Schools and Instruction,EDUC,Education,50 or More
