EVENT DATE,Program,MUNICIPALITY, REGION,PRIMARY OCCUPATION CODE,OCCUPATION DESCRIPTION,SECTOR CODE,SECTOR DESCRIPTION,WORKER COUNT
2/10/2017,Industrial Health & Safety Program,Scarborough,Central East,238910,Site Preparation Contractors,INDS,Industrial Services,1 to 5
2/2/2017,Construction Health & Safety Program,Burlington,South Western,236110,Residential Building Construction,RESS,Single Family Housing,20 to 49
2/12/2017,Mining Health & Safety Program,,,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
2/2/2017,Industrial Health & Safety Program,Owen Sound,Western,611310,Universities,EDUC,Education,1 to 5
3/3/2017,Industrial Health & Safety Program,North York,Central East,561621,Security Systems Services (except Locksmiths),INDS,Industrial Services,
3/4/2017,Construction Health & Safety Program,Pickering,Central East,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
2/27/2017,Mining Health & Safety Program,Thunder Bay,Northern,212232,Nickel-Copper Ore Mining,UMIN,Underground Mines,50 or More
3/8/2017,Construction Health & Safety Program,Hannon,South Western,238160,Roofing Contractors,RESS,Single Family Housing,1 to 5
2/28/2017,Industrial Health & Safety Program,North York,Central East,912130,Provincial Police Services,PLCE,Police,50 or More
3/9/2017,Construction Health & Safety Program,North York,Central East,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,20 to 49
3/1/2017,Industrial Health & Safety Program,Ancaster,South Western,551114,Head Offices,OFFS,Offices & Related Services,20 to 49
3/5/2017,Industrial Health & Safety Program,Newmarket,Central West,453310,Used Merchandise Stores,RETL,Retail,50 or More
2/27/2017,Industrial Health & Safety Program,Whitby,Central East,,,,,
3/2/2017,Industrial Health & Safety Program,Sudbury,Northern,722512,Limited-service eating places,REST,Restaurants,50 or More
2/26/2017,Construction Health & Safety Program,Stratford,Western,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
2/27/2017,Construction Health & Safety Program,Scarborough,Central East,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,50 or More
2/27/2017,Industrial Health & Safety Program,HAMILTON,South Western,326122,Plastic Pipe and Pipe Fitting Manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
2/25/2017,Construction Health & Safety Program,Toronto,Central East,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
3/4/2017,Industrial Health & Safety Program,Huntsville,Eastern,331221,Cold-Rolled Steel Shape Manufacturing,FABR,Wood & Metal Fabrication,50 or More
3/5/2017,Construction Health & Safety Program,Elliot Lake,Northern,237130,Power and Communication Line and Related Structures Construction,HYDR,Hydro,20 to 49
3/1/2017,Industrial Health & Safety Program,Toronto,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
2/25/2017,Industrial Health & Safety Program,Brampton,Central West,444190,Other Building Material Dealers,CONY,Construction Premises,20 to 49
2/25/2017,Industrial Health & Safety Program,Windsor,Western,332420,Metal Tank (Heavy Gauge) Manufacturing,FABR,Wood & Metal Fabrication,1 to 5
3/7/2017,Industrial Health & Safety Program,Peterborough,Eastern,213119,Other Support Activities for Mining,WHLS,Wholesalers,6 to 19
3/6/2017,Health Care Health & Safety Program,Whitby,Central East,623222,Homes for the Psychiatrically Disabled,GRPH,Group Homes,50 or More
3/4/2017,Industrial Health & Safety Program,Port Hope,Eastern,418220,Other paper and disposable plastic product merchant wholesalers,WHLS,Wholesalers,20 to 49
2/27/2017,Industrial Health & Safety Program,Mississauga,Central West,562990,All Other Waste Management Services,INDS,Industrial Services,50 or More
3/6/2017,Industrial Health & Safety Program,ST CATHARINES,South Western,444110,Home Centres,RETL,Retail,50 or More
3/6/2017,Construction Health & Safety Program,Mississauga,Central West,236210,Industrial Building and Structure Construction,MINP,Mining Plant Construction,50 or More
3/10/2017,Industrial Health & Safety Program,Vaughan,Central West,416310,General-line building supplies merchant wholesalers,TRAN,Transportation,50 or More
3/2/2017,Industrial Health & Safety Program,Scarborough,Central East,417210,"Construction and forestry machinery, equipment and supplies merchant wholesalers",VEHS,Vehicle Sales & Service,6 to 19
3/3/2017,Industrial Health & Safety Program,North Bay,Northern,493110,General Warehousing and Storage,WHLS,Wholesalers,50 or More
3/7/2017,Construction Health & Safety Program,Whitby,Central East,238990,All Other Specialty Trade Contractors,WIND,Window Cleaning Services,1 to 5
3/27/2017,Industrial Health & Safety Program,Toronto,Central East,713920,Skiing Facilities,SERV,"Tourism, Hospitality & Recreational Services",50 or More
3/29/2017,Mining Health & Safety Program,Toronto,Central East,212398,All Other Non-Metallic Mineral Mining and Quarrying,SPLT,Surface Plant (Mine Sites),20 to 49
3/30/2017,Health Care Health & Safety Program,Sault Ste. Marie,Northern,622210,Psychiatric and Substance Abuse Hospitals,HOSP,Hospitals,50 or More
3/27/2017,Industrial Health & Safety Program,Scarborough,Central East,721113,Resorts,SERV,"Tourism, Hospitality & Recreational Services",50 or More
3/30/2017,Construction Health & Safety Program,TIMMINS,Northern,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,1 to 5
4/6/2017,Health Care Health & Safety Program,Hamilton,South Western,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
4/4/2017,Industrial Health & Safety Program,Toronto,Central East,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
3/29/2017,Industrial Health & Safety Program,Stoney Creek,South Western,112330,Turkey Production,FARM,Farming,6 to 19
3/28/2017,Industrial Health & Safety Program,Thunder Bay,Northern,326220,Rubber and Plastic Hose and Belting Manufacturing,WHLS,Wholesalers,6 to 19
4/4/2017,Industrial Health & Safety Program,Ottawa,Eastern,711217,Sports teams and clubs performing before a paying audience,OFFS,Offices & Related Services,50 or More
4/6/2017,Industrial Health & Safety Program,Lively,Northern,418990,All other merchant wholesalers,TRAN,Transportation,50 or More
4/6/2017,Industrial Health & Safety Program,Tillsonburg,Western,236210,Industrial Building and Structure Construction,FOOD,"Food, Beverage & Tobacco",50 or More
3/30/2017,Industrial Health & Safety Program,Toronto,Central East,713210,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
4/4/2017,Industrial Health & Safety Program,Toronto,Central East,485110,Urban Transit Systems,TRAN,Transportation,50 or More
3/28/2017,Industrial Health & Safety Program,BROUGHAM,Central East,451119,All other sporting goods stores,RETL,Retail,50 or More
4/1/2017,Industrial Health & Safety Program,Brampton,Central West,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
4/12/2017,Industrial Health & Safety Program,Bowmanville,Central East,561210,Facilities Support Services,REST,Restaurants,50 or More
4/8/2017,Construction Health & Safety Program,North Bay,Northern,238160,Roofing Contractors,RESS,Single Family Housing,1 to 5
4/2/2017,Industrial Health & Safety Program,Burlington,South Western,611310,Universities,EDUC,Education,50 or More
4/3/2017,Industrial Health & Safety Program,North York,Central East,314990,All Other Textile Product Mills,TEXT,"Textiles, Printing",50 or More
4/6/2017,Construction Health & Safety Program,LONDON,Western,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
4/11/2017,Industrial Health & Safety Program,Scarborough,Central East,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
3/31/2017,Industrial Health & Safety Program,KITCHENER,Western,561310,Employment Placement Agencies and Executive Search Services,OFFS,Offices & Related Services,6 to 19
4/2/2017,Industrial Health & Safety Program,Mississauga,Central West,713992,Other sport facilities,SERV,"Tourism, Hospitality & Recreational Services",1 to 5
3/30/2017,Industrial Health & Safety Program,Oshawa,Central East,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
3/30/2017,Industrial Health & Safety Program,SPRINGWATER TWP,Central West,713940,Fitness and Recreational Sports Centres,NECI,NEC - Industrial,6 to 19
4/8/2017,Industrial Health & Safety Program,Elliot Lake,Northern,236220,Commercial and Institutional Building Construction,INDS,Industrial Services,50 or More
4/9/2017,Health Care Health & Safety Program,Ajax,Central East,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
4/11/2017,Industrial Health & Safety Program,Dryden,Northern,912910,Other Provincial and Territorial Public Administration,GOVT,Government,50 or More
4/6/2017,Construction Health & Safety Program,Milton,South Western,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
4/4/2017,Industrial Health & Safety Program,Georgetown,South Western,561210,Facilities Support Services,REST,Restaurants,50 or More
4/29/2017,Industrial Health & Safety Program,Toronto,Central East,,,,,
5/1/2017,Industrial Health & Safety Program,Pickering,Central East,311990,All Other Food Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
4/28/2017,Industrial Health & Safety Program,Burlington,South Western,913140,Municipal Fire-Fighting Services,GOVT,Government,1 to 5
5/2/2017,Construction Health & Safety Program,Pontypool,Central East,237310,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,20 to 49
5/6/2017,Industrial Health & Safety Program,Whitby,Central East,326290,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",50 or More
5/9/2017,Industrial Health & Safety Program,Scarborough,Central East,311520,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
5/9/2017,Industrial Health & Safety Program,Mississauga,Central West,333246,Rubber and plastics industry machinery manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
5/8/2017,Industrial Health & Safety Program,,,452110,Department Stores,RETL,Retail,50 or More
5/9/2017,Industrial Health & Safety Program,Brampton,Central West,722310,Food Service Contractors,FOOD,"Food, Beverage & Tobacco",20 to 49
4/29/2017,Industrial Health & Safety Program,Ingersoll,Western,111422,Floriculture Production,WHLS,Wholesalers,20 to 49
5/6/2017,Industrial Health & Safety Program,,,493110,General Warehousing and Storage,TRAN,Transportation,50 or More
5/9/2017,Industrial Health & Safety Program,L'Orignal,Eastern,912140,Provincial Fire-Fighting Services,FIRE,Fire Fighting,50 or More
4/30/2017,Industrial Health & Safety Program,ORILLIA,Central West,713210,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
5/8/2017,Industrial Health & Safety Program,North York,,611110,Elementary and Secondary Schools,EDUC,Education,20 to 49
5/2/2017,Construction Health & Safety Program,HAMILTON,South Western,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
5/6/2017,Industrial Health & Safety Program,Tiverton,Western,524129,"Other Direct Insurance (except Life, Health and Medical) Carriers",OFFS,Offices & Related Services,50 or More
5/9/2017,Industrial Health & Safety Program,Holland Landing,Central West,623993,Homes for the Physically Handicapped or Disabled,EDUC,Education,20 to 49
5/7/2017,Industrial Health & Safety Program,Mississauga,Central West,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,1 to 5
4/30/2017,Construction Health & Safety Program,Scarborough,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
5/10/2017,Industrial Health & Safety Program,Burlington,South Western,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
5/3/2017,Industrial Health & Safety Program,,,621420,Out-Patient Mental Health and Substance Abuse Centres,OFFS,Offices & Related Services,
5/7/2017,Industrial Health & Safety Program,Owen Sound,Western,493120,Refrigerated Warehousing and Storage,FOOD,"Food, Beverage & Tobacco",50 or More
5/11/2017,Construction Health & Safety Program,North York,Central East,237310,"Highway, Street and Bridge Construction",ROAD,Highway & Road Construction,20 to 49
5/5/2017,Industrial Health & Safety Program,Pickering,Central East,111422,Floriculture Production,AGRI,Agricultural Services,6 to 19
5/4/2017,Health Care Health & Safety Program,Thunder Bay,Northern,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
6/3/2017,Construction Health & Safety Program,Hannon,South Western,238210,Electrical Contractors and Other Wiring Installation Contractors,COMM,Commercial Building Construction,1 to 5
6/2/2017,Construction Health & Safety Program,North York,Central East,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
6/7/2017,Industrial Health & Safety Program,North York,Central East,493110,General Warehousing and Storage,WHLS,Wholesalers,
6/5/2017,Industrial Health & Safety Program,Ancaster,South Western,493110,General Warehousing and Storage,NECI,NEC - Industrial,20 to 49
5/28/2017,Industrial Health & Safety Program,Scarborough,Central East,413110,General-line food merchant wholesalers,FOOD,"Food, Beverage & Tobacco",20 to 49
6/6/2017,Construction Health & Safety Program,Mississauga,Central West,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,20 to 49
6/1/2017,Health Care Health & Safety Program,Balmertown,Northern,624120,Services for the Elderly and Persons with Disabilities,NSER,Nursing Services,
6/2/2017,Industrial Health & Safety Program,Mississauga,Central West,485110,Urban Transit Systems,TRAN,Transportation,50 or More
5/28/2017,Health Care Health & Safety Program,KAPUSKASING,Northern,622111,General (except Paediatric) Hospitals,HEAL,HEALTH CARE,50 or More
5/30/2017,Industrial Health & Safety Program,Toronto,Central East,913130,Municipal Police Services,PLCE,Police,50 or More
6/4/2017,Construction Health & Safety Program,Toronto,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,1 to 5
5/29/2017,Industrial Health & Safety Program,Burlington,South Western,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
6/9/2017,Industrial Health & Safety Program,Brantford,South Western,452110,Department Stores,RETL,Retail,50 or More
6/2/2017,Industrial Health & Safety Program,Mount Forest,Western,326290,Other rubber product manufacturing,CHEM,"Chemical, Rubber & Plastics",6 to 19
6/2/2017,Industrial Health & Safety Program,Richmond Hill,,339990,All Other Miscellaneous Manufacturing,FABR,Wood & Metal Fabrication,
6/2/2017,Construction Health & Safety Program,Milton,South Western,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
6/5/2017,Industrial Health & Safety Program,Richmond Hill,Central West,339990,All Other Miscellaneous Manufacturing,WHLS,Wholesalers,50 or More
6/6/2017,Industrial Health & Safety Program,Woodbridge,Central West,713110,Amusement and Theme Parks,SERV,"Tourism, Hospitality & Recreational Services",50 or More
6/12/2017,Industrial Health & Safety Program,LONDON,Western,811121,"Automotive Body, Paint and Interior Repair and Maintenance",INDS,Industrial Services,1 to 5
6/2/2017,Industrial Health & Safety Program,Thunder Bay,Northern,711217,Sports teams and clubs performing before a paying audience,SERV,"Tourism, Hospitality & Recreational Services",50 or More
6/10/2017,Industrial Health & Safety Program,,,238990,All Other Specialty Trade Contractors,CONY,Construction Premises,50 or More
6/10/2017,Industrial Health & Safety Program,,,912190,Other Provincial Protective Services,GOVT,Government,6 to 19
6/2/2017,Industrial Health & Safety Program,Mississauga,Central West,722511,Full-service restaurants,INDS,Industrial Services,
6/1/2017,Industrial Health & Safety Program,North York,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
6/9/2017,Industrial Health & Safety Program,Markham,Central West,331514,Steel Foundries,STEL,Primary Metals,50 or More
6/10/2017,Industrial Health & Safety Program,Mississauga,Central West,493110,General Warehousing and Storage,RETL,Retail,50 or More
6/3/2017,Industrial Health & Safety Program,,,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,
6/10/2017,Industrial Health & Safety Program,Toronto,Central East,,,,,
6/8/2017,Health Care Health & Safety Program,Stratford,Western,623310,Community Care Facilities for the Elderly,TCSS,Treatment Clinics & Specialized Services,50 or More
6/4/2017,Construction Health & Safety Program,Hamilton,South Western,236220,Commercial and Institutional Building Construction,INST,Institutional Building Construction,1 to 5
6/7/2017,Industrial Health & Safety Program,Ingersoll,Western,444110,Home Centres,RETL,Retail,50 or More
6/3/2017,Industrial Health & Safety Program,Kitchener,Western,713210,Casinos (except Casino Hotels),SERV,"Tourism, Hospitality & Recreational Services",50 or More
5/29/2017,Industrial Health & Safety Program,Hannon,South Western,913910,"Other Local, Municipal and Regional Public Administration",GOVT,Government,6 to 19
6/4/2017,Industrial Health & Safety Program,Sudbury,Northern,493110,General Warehousing and Storage,WHLS,Wholesalers,50 or More
6/6/2017,Industrial Health & Safety Program,Scarborough,Central East,,,,,
6/5/2017,Industrial Health & Safety Program,Bowmanville,Central East,333416,Heating Equipment and Commercial Refrigeration Equipment Manufacturing,FABR,Wood & Metal Fabrication,50 or More
6/11/2017,Industrial Health & Safety Program,Toronto,Central East,611110,Elementary and Secondary Schools,EDUC,Education,50 or More
6/2/2017,Industrial Health & Safety Program,Hamilton,South Western,443143,"Appliance, television and other electronics stores",RETL,Retail,6 to 19
6/7/2017,Health Care Health & Safety Program,Fort Albany,Northern,624310,Vocational Rehabilitation Services,HFRC,Homes for Residential Care,6 to 19
6/10/2017,Industrial Health & Safety Program,Mississauga,Central West,623993,Homes for the Physically Handicapped or Disabled,EDUC,Education,20 to 49
6/11/2017,Industrial Health & Safety Program,Picton,Eastern,444130,Hardware Stores,RETL,Retail,50 or More
6/30/2017,Industrial Health & Safety Program,Stoney Creek,South Western,561310,Employment Placement Agencies and Executive Search Services,TRAN,Transportation,50 or More
7/4/2017,Industrial Health & Safety Program,CALEDONIA,South Western,541215,"Bookkeeping, Payroll and Related Services",INDS,Industrial Services,20 to 49
7/6/2017,Industrial Health & Safety Program,Kingston,Eastern,416320,"Lumber, plywood and millwork merchant wholesalers",WHLS,Wholesalers,50 or More
7/3/2017,Industrial Health & Safety Program,Chapleau,Northern,562910,Remediation Services,INDS,Industrial Services,1 to 5
7/3/2017,Construction Health & Safety Program,Tilbury,Western,611110,Elementary and Secondary Schools,ASB1,Asbestos Removal - Type 1,50 or More
7/1/2017,Industrial Health & Safety Program,Parkhill,Western,331514,Steel Foundries,STEL,Primary Metals,50 or More
7/11/2017,Construction Health & Safety Program,,,236110,Residential Building Construction,RESS,Single Family Housing,1 to 5
7/5/2017,Construction Health & Safety Program,Toronto,Central East,236220,Commercial and Institutional Building Construction,COMM,Commercial Building Construction,6 to 19
7/5/2017,Industrial Health & Safety Program,Collingwood,Central West,611110,Elementary and Secondary Schools,EDUC,Education,
6/29/2017,Industrial Health & Safety Program,Waubaushene,Central West,326193,Motor Vehicle Plastic Parts Manufacturing,AUTO,Automotive,50 or More
7/11/2017,Health Care Health & Safety Program,Bowmanville,Central East,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
6/30/2017,Industrial Health & Safety Program,Brampton,Central West,562910,Remediation Services,INDS,Industrial Services,1 to 5
7/4/2017,Industrial Health & Safety Program,Ottawa,Eastern,111419,Other Food Crops Grown Under Cover,FARM,Farming,50 or More
7/12/2017,Industrial Health & Safety Program,Campbellville,South Western,331523,Non-ferrous metal die-casting foundries,NECI,NEC - Industrial,6 to 19
7/2/2017,Health Care Health & Safety Program,Toronto,Central East,623310,Community Care Facilities for the Elderly,HFRC,Homes for Residential Care,
7/5/2017,Industrial Health & Safety Program,Guelph,Western,444110,Home Centres,RETL,Retail,50 or More
7/4/2017,Industrial Health & Safety Program,Toronto,Central East,452110,Department Stores,RETL,Retail,20 to 49
7/8/2017,Construction Health & Safety Program,Scarborough,Central East,238320,Painting and Wall Covering Contractors,NECC,NEC - Construction,1 to 5
7/5/2017,Industrial Health & Safety Program,Welland,South Western,336110,Automobile and light-duty motor vehicle manufacturing,AUTO,Automotive,50 or More
6/29/2017,Industrial Health & Safety Program,Whitby,Central East,238291,Elevator and Escalator Installation Contractors,INDS,Industrial Services,20 to 49
7/7/2017,Industrial Health & Safety Program,Mississauga,,311520,Ice Cream and Frozen Dessert Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
7/1/2017,Construction Health & Safety Program,Fort Erie,South Western,236110,Residential Building Construction,RESM,Apartment & Other Multiple Housing,20 to 49
7/8/2017,Industrial Health & Safety Program,Mississauga,Central West,311920,Coffee and Tea Manufacturing,FOOD,"Food, Beverage & Tobacco",50 or More
7/6/2017,Health Care Health & Safety Program,Hawkesbury,Eastern,623110,Nursing Care Facilities,HFNC,Homes for Nursing Care,50 or More
7/2/2017,Industrial Health & Safety Program,Chaput Hughes,Northern,611690,All Other Schools and Instruction,EDUC,Education,50 or More
7/7/2017,Industrial Health & Safety Program,MARATHON,Northern,321111,Sawmills (except shingle and shake mills),LOGS,Logging & Sawmills,50 or More
7/5/2017,Industrial Health & Safety Program,LONDON,Western,445110,Supermarkets and Other Grocery (except Convenience) Stores,RETL,Retail,50 or More
7/4/2017,Industrial Health & Safety Program,Hamilton,South Western,493110,General Warehousing and Storage,INDS,Industrial Services,50 or More
7/1/2017,Construction Health & Safety Program,,,236110,Residential Building Construction,RESS,Single Family Housing,6 to 19
7/4/2017,Industrial Health & Safety Program,Campbellville,South Western,722512,Limited-service eating places,REST,Restaurants,20 to 49
6/29/2017,Industrial Health & Safety Program,Toronto,Central East,452110,Department Stores,RETL,Retail,50 or More
7/7/2017,Construction Health & Safety Program,BARRIE,Central West,237130,Power and Communication Line and Related Structures Construction,ETTL,Electrical Towers & Transmission Lines,1 to 5
7/5/2017,Industrial Health & Safety Program,Scarborough,Central East,611690,All Other Schools and Instruction,EDUC,Education,6 to 19
7/3/2017,Health Care Health & Safety Program,Toronto,,622111,General (except Paediatric) Hospitals,HOSP,Hospitals,50 or More
7/8/2017,Construction Health & Safety Program,Thunder Bay,Northern,236210,Industrial Building and Structure Construction,INDU,Industrial Building Construction,6 to 19
