Accident_Date,Worker_age,Occupation_Category_Code,Occupation_Category_Description,Occupation_Code,Occupation_Description,Worker_Experience_in_Years,Accident_Source_Category_Description1,Source_Category_Description2,Accident_Category_Description,Accident_Place_Description,Organization_City,Organization_Province_Code,Industry_Sector_Description
9/13/2023,63,421,"PARALEGALS, SOC. SERV. WRKRS. & OCCUPS. IN EDUC. & REL., NEC",4213,COMMUNITY AND SOCIAL SERVICE WORKERS,0.5,GROUND,PLAYGROUND EQUIPMENT,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,STOUFFVILLE,ON,MUNICIPAL
12/11/2023,40,949,OTHER ASSEMBLY AND RELATED OCCUPATIONS,9499,OTHER ASSEMBLERS AND INSPECTORS,0.5,FORKLIFT,"SKIDS, PALLETS","NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",PUBLIC BUILDINGS.,MARKHAM,ON,TRANSPORTATION
10/31/2023,50,843,AGRICULTURE AND HORTICULTURE WORKERS,8433,NURSERY AND GREENHOUSE WORKERS,0.5,FORKLIFT,FORKLIFT,"NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER",PUBLIC BUILDINGS.,TORONTO,ON,AGRICULTURE
11/4/2023,38,71,MANAGERS IN CONSTRUCTION AND TRANSPORTATION,712,CONSTRUCTION MANAGERS,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,BUILDING UNDER CONSTRUCTION.,ETOBICOKE,ON,CONSTRUCTION
11/24/2023,46,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH INDUSTRIAL,3415,OTHER AIDES AND ASSISTANTS IN SUPPORT OF HEALTH INDUSTRIAL,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,NORTH YORK,ON,INDUSTRIAL
11/27/2023,58,725,"PLUMBERS, PIPEFITTERS AND GAS FITTERS",7253,"STEAMFITTERS, PIPEFITTERS AND SPRINKLER SYSTEM INSTALLERS",0.5,FORKLIFT,STRUCTURAL METAL MATERIALS,CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PLACE NOT SPECIFIED,TORONTO,ON,CONSTRUCTION
12/27/2023,34,949,OTHER ASSEMBLY AND RELATED OCCUPATIONS,9493,FURNITURE AND FIXTURE ASSEMBLERS AND INSPECTORS,0.5,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,INGLEWOOD,ON,MANUFACTURING
11/6/2023,54,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9619,"OTHER LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",0.5,STRUCTURAL METAL MATERIALS,UNKNOWN,STRUCK BY OBJECT,INDUSTRIAL SITE.,TORONTO,ON,MANUFACTURING
11/16/2023,54,147,"RECORDING, SCHEDULING AND DISTRIBUTING OCCUPATIONS",1472,SHIPPERS AND RECEIVERS,0.5,"BOXES, CRATES, CARTONS",DAIRY PRODUCTS,OVEREXERTION,STREET AND HIGHWAY.,TORONTO,ON,FOOD
12/10/2023,61,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,FLOORS,LADDERS--MOVABLE,FALL TO LOWER LEVEL,INDUSTRIAL SITE.,TORONTO,ON,INDUSTRIAL
1/16/2023,36,745,LONGSHORE WORKERS AND MATERIAL HANDLERS,7453,MATERIAL HANDLERS,0.5,"FIRE, FLAME, SMOKE","PETROLEUM FUELS, DISTILLATES, PRODUCTS, N.E.C.",EXPLOSION,INDUSTRIAL SITE.,MARKHAM,ON,MANUFACTURING
11/13/2022,66,62,MANAGERS IN RETAIL TRADE,622,RETAIL TRADE MANAGERS,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,COBOURG,ON,INDUSTRIAL
2/5/2023,62,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,MARKHAM,ON,HEALTH CARE
1/8/2023,72,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PLACE NOT SPECIFIED,SCARBOROUGH,ON,INDUSTRIAL
2/13/2023,29,624,CHEFS AND COOKS,6243,COOKS,0.5,SHELVING,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,HAMILTON,ON,INDUSTRIAL
1/16/2023,62,122,ADMINISTRATIVE AND REGULATORY OCCUPATIONS,1225,PROPERTY ADMINISTRATORS,0.5,WEATHER AND ATMOSPHERIC CONDITIONS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PLACE NOT SPECIFIED,STRATHROY,ON,INDUSTRIAL
2/25/2023,70,664,FOOD COUNTER ATTENDANTS AND KITCHEN HELPERS,6642,FOOD SERVICE COUNTER ATTENDANTS AND FOOD PREPARERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,CANONSBURG,PA,HEALTH CARE
1/14/2023,41,62,MANAGERS IN RETAIL TRADE,622,RETAIL TRADE MANAGERS,0.5,"SKIDS, PALLETS","SKIDS, PALLETS",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,OSHAWA,ON,INDUSTRIAL
1/15/2023,40,736,TRAIN CREW OPERATING OCCUPATIONS,7363,RAILWAY CONDUCTORS AND BRAKEMEN/WOMEN,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,NORTH YORK,ON,CONSTRUCTION
1/31/2023,53,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,OVERHEAD HOISTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PLACE NOT SPECIFIED,MISSISSAUGA,ON,HEALTH CARE
2/8/2023,29,948,"MECHANICAL, ELECTRICAL AND ELECTRONICS ASSEMBLERS",9485,"ASSEMBLERS AND INSPECTORS, ELECTRICAL APPLIANCE, APPARATUS A",0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,ROSEMEAD,CA,MANUFACTURING
2/4/2023,66,647,CHILDCARE AND HOME SUPPORT WORKERS,6472,"VISITING HOMEMAKERS, HOUSEKEEPERS AND RELATED OCCUPATIONS",0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,INDUSTRIAL SITE.,ILDERTON,ON,MANUFACTURING
1/26/2023,40,645,OCCUPATIONS IN FOOD AND BEVERAGE SERVICE,6454,FOOD AND BEVERAGE SERVERS,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,WOODBRIDGE,ON,INDUSTRIAL
1/17/2023,20,662,OTHER SALES AND RELATED OCCUPATIONS,6623,GROCERY CLERKS AND SHELF STOCKERS,0.5,FOOD & BEVERAGE PROCESSING MACHINERY--SPECIALIZED,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PLACE NOT SPECIFIED,TORONTO,ON,INDUSTRIAL
1/29/2023,69,825,"CONTRACTORS,OPERATORS & SUPERVISORS IN AGRIC.,HORTIC.&AQUAC.",8257,"SUPERVISORS, LANDSCAPE AND HORTICULTURE",0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",GROUND,BODILY REACTION,BUILDING UNDER CONSTRUCTION.,HOLLAND CENTRE,ON,INDUSTRIAL
1/14/2023,63,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",0.5,GROUND,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,WINNIPEG,MB,INDUSTRIAL
12/27/2021,66,666,CLEANERS,6664,"JANITORS, CARETAKERS AND BUILDING SUPERINTENDENTS",0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",LONDON,ON,INDUSTRIAL
1/8/2023,36,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,FLOORS,OTHER HANDTOOLS--NONPOWERED,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,SIOUX LOOKOUT,ON,CONSTRUCTION
1/16/2023,59,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3414,NURSE AIDES AND ORDERLIES,0.5,"STAIRS, STEPS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,PORT HOPE,ON,HEALTH CARE
2/11/2023,28,323,OTHER TECHNICAL OCCUPATIONS IN HEALTH CARE (EXCEPT DENTAL),3235,AMBULANCE ATTENDANTS AND OTHER PARAMEDICAL OCCUPATIONS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",HEALTH CARE PATIENT OR RESIDENT OF HEALTH CARE FACILITY,BODILY REACTION,INDUSTRIAL SITE.,MISSISSAUGA,ON,HEALTH CARE
12/28/2022,27,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,"CASES, CABINETS, RACKS, SHELVES, N.E.C.","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,BRAMPTON,ON,INDUSTRIAL
2/12/2023,60,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,GROUND,UNKNOWN,FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,LONDON,ON,INDUSTRIAL
1/13/2023,65,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,INDUSTRIAL SITE.,PETROLIA,ON,INDUSTRIAL
1/7/2023,58,525,"ATHLETES, COACHES, REFEREES AND RELATED OCCUPATIONS",5255,PROGRAM LEADERS AND INSTRUCTORS IN RECREATION AND SPORT,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",UNKNOWN,BODILY REACTION,INDUSTRIAL SITE.,WOODBRIDGE,ON,HEALTH CARE
2/1/2023,49,662,OTHER SALES AND RELATED OCCUPATIONS,6623,GROCERY CLERKS AND SHELF STOCKERS,0.5,FLOORS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,CHATHAM,ON,INDUSTRIAL
2/11/2023,68,341,ASSISTING OCCUPATIONS IN SUPPORT OF HEALTH SERVICES,3415,OTHER AIDES AND ASSISTANTS IN SUPPORT OF HEALTH SERVICES,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",UNKNOWN,BODILY REACTION,PUBLIC BUILDINGS.,KITCHENER,ON,HEALTH CARE
1/29/2023,29,726,"METAL FORMING, SHAPING AND ERECTING OCCUPATIONS",7262,SHEET METAL WORKERS,0.5,PARKING LOTS,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,FLORENCE,ON,CONSTRUCTION
1/16/2023,65,744,"OTHER INSTALLERS, REPAIRERS AND SERVICERS",7446,OTHER REPAIRERS AND SERVICERS,0.5,EXCAVATING MACHINERY,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,NEPEAN,ON,INDUSTRIAL
1/18/2023,44,62,MANAGERS IN RETAIL TRADE,622,RETAIL TRADE MANAGERS,0.5,WALLS,FLOORS,FALL ON SAME LEVEL,FARM.,CALGARY,AB,INDUSTRIAL
2/6/2023,31,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),2,BORING HANDTOOLS--POWERED,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,BRAMPTON,ON,CONSTRUCTION
7/9/2024,58,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7412,TRUCK DRIVERS,0.5,BORING HANDTOOLS--NONPOWERED,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",CAUGHT IN OR COMPRESSED BY EQUIP./OBJECTS,PUBLIC BUILDINGS.,ST THOMAS,ON,TRANSPORTATION
6/8/2024,44,642,RETAIL SALESPERSONS AND SALES CLERKS,6422,RETAIL SALESPERSONS AND SALES CLERKS,0.5,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FLOORS,BODILY REACTION,INDUSTRIAL SITE.,CASSELMAN,ON,INDUSTRIAL
7/15/2024,41,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),0.5,SAWING MACHINERY--STATIONARY,"PIPES, DUCTS, TUBING",STRUCK AGAINST OBJECT,PUBLIC BUILDINGS.,SAINT-HUBERT,QC,CONSTRUCTION
7/6/2024,32,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,"WOOD, LUMBER","PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",MARKHAM,ON,CONSTRUCTION
7/8/2024,23,666,CLEANERS,6663,SPECIALIZED CLEANERS,0.5,ELECTRIC PARTS,UNKNOWN,CONTACT WITH ELECTRIC CURRENT,FARM.,NEPEAN,ON,MANUFACTURING
5/18/2023,31,729,OTHER CONSTRUCTION TRADES,7292,ROOFERS AND SHINGLERS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,LAVAL,QC,CONSTRUCTION
3/21/2024,47,961,"LABOURERS IN PROCESSING, MANUFACTURING AND UTILITIES",9616,LABOURERS IN RUBBER AND PLASTIC PRODUCTS MANUFACTURING,0.5,FLOORS,"BOXES, CRATES, CARTONS",FALL ON SAME LEVEL,PUBLIC BUILDINGS.,BARRIE,ON,MANUFACTURING
7/19/2024,37,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,"OFFROAD VEHICLE, NONINDUSTRIAL, N.E.C.",PERSON--OTHER THAN INJURED OR ILL WORKER,"NONHIGHWAY ACCIDENT, EXCEPT RAIL, AIR, WATER","RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",MIDHURST,ON,INDUSTRIAL
7/11/2024,36,732,MOTOR VEHICLE MECHANICS,7322,"MOTOR VEHICLE MECHANICS, TECHNICIANS AND MECHANICAL REPAIRER",0.5,"HIGHWAY VEHICLE, UNS","BODILY MOTION OR POSITION OF INJURED, ILL WORKER",STRUCK AGAINST OBJECT,PUBLIC BUILDINGS.,ST CATHARINES,ON,INDUSTRIAL
7/17/2024,31,624,CHEFS AND COOKS,6243,COOKS,0.5,FLOORS,UNKNOWN,FALL ON SAME LEVEL,INDUSTRIAL SITE.,DELTA,BC,INDUSTRIAL
8/1/2024,65,***,INVALID OCCUPATION CODE,****,INVALID OCCUPATION CODE,0.5,ELECTRIC PARTS,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER","BODILY REACTIONS & EXERTION, N.E.C.","RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",OTTAWA,ON,EDUCATION-INDUSTRIAL
6/16/2024,65,662,OTHER SALES AND RELATED OCCUPATIONS,6623,GROCERY CLERKS AND SHELF STOCKERS,0.5,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL ON SAME LEVEL,INDUSTRIAL SITE.,MARKHAM,ON,INDUSTRIAL
7/31/2024,74,723,MACHINISTS AND RELATED OCCUPATIONS,7232,MACHINISTS AND MACHINING AND TOOLING INSPECTORS,0.5,MACHINE AND APPLIANCE PARTS,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,HOME.,KANATA,ON,MANUFACTURING
12/21/2023,74,665,SECURITY GUARDS AND RELATED OCCUPATIONS,6652,SECURITY GUARDS AND RELATED OCCUPATIONS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,PUBLIC BUILDINGS.,TORONTO,ON,MANUFACTURING
7/13/2024,36,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7415,DELIVERY DRIVERS,0.5,"SIDEWALKS, PATHS, OUTDOOR WALKWAYS",TRUCK,FALL TO LOWER LEVEL,PUBLIC BUILDINGS.,KINGSTON,ON,TRANSPORTATION
7/30/2024,34,761,TRADES HELPERS AND LABOURERS,7612,CONSTRUCTION TRADES HELPERS AND LABOURERS,0.5,STRIKING HANDTOOLS--NONPOWERED,"PERSON--INJURED OR ILL WORKER, N.E.C.",STRUCK BY OBJECT,INDUSTRIAL SITE.,KESWICK,ON,CONSTRUCTION
6/23/2024,67,741,MOTOR VEHICLE AND TRANSIT DRIVERS,7413,BUS DRIVERS AND SUBWAY AND OTHER TRANSIT OPERATORS,0.5,BUS,"HIGHWAY VEHICLE, UNS",HIGHWAY ACCIDENT,INDUSTRIAL SITE.,BELLEVILLE,ON,TRANSPORTATION
12/19/2022,38,724,ELECTRICAL TRADES AND TELECOMMUNICATION OCCUPATIONS,7242,ELECTRICIANS (EXCEPT INDUSTRIAL AND POWER SYSTEM),3,GROUND,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",FALL TO LOWER LEVEL,HOME.,NORTH YORK,ON,CONSTRUCTION
11/19/2022,56,942,"MACHINE OPERATORS & REL. WRKRS. IN CHEMICAL,PLASTIC & RUBBER",9425,WATER AND WASTE PLANT OPERATORS,0.5,GROUND,WEATHER AND ATMOSPHERIC CONDITIONS,FALL ON SAME LEVEL,BUILDING UNDER CONSTRUCTION.,LEAMINGTON,ON,ELECTRICAL
10/20/2022,69,122,ADMINISTRATIVE AND REGULATORY OCCUPATIONS,1225,PROPERTY ADMINISTRATORS,0.5,"FLOORS, WALKWAYS, GROUND SURFACES, UNS",HOSES,FALL ON SAME LEVEL,"RESIDENTIAL INSTITUTION. (HOSPITALS, ORPHANAGE, PRISON ETC.)",VAUGHAN,ON,INDUSTRIAL
12/5/2022,47,725,"PLUMBERS, PIPEFITTERS AND GAS FITTERS",7253,"STEAMFITTERS, PIPEFITTERS AND SPRINKLER SYSTEM INSTALLERS",0.5,FORKLIFT,"CO-WORKER, FORMER CO-WORKER OF INJURED OR ILL WORKER","PEDESTRIAN STRUCK BY VEHICLE, MOBILE EQUIPMENT",HOME.,HAMILTON,ON,CONSTRUCTION
10/30/2022,60,731,MACHINERY & TRANSPORT. EQUIP. MECHANICS (EXCP MOTOR VEHICLE),7314,REFRIGERATION AND AIR CONDITIONING MECHANICS,0.5,OTHER HANDTOOLS--NONPOWERED,"BODILY MOTION OR POSITION OF INJURED, ILL WORKER",OVEREXERTION,PUBLIC BUILDINGS.,CONCORD,ON,MANUFACTURING
